               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10201,             0.01403,            0.019675,            0.060887,             0.19847,            0.039149,            0.010883,            0.083514,           0.0086895,           0.0097214,            0.070455,           0.0032828,           0.0032828
                   1,            0.075477,             0.01877,           0.0050664,             0.15757,             0.22137,             0.10147,            0.031444,            0.071024,           0.0083764,           0.0029631,            0.040433,           0.0065943,           0.0065943
                   2,            0.066859,             0.01769,           0.0020954,             0.28747,             0.38931,             0.22742,            0.088864,            0.065968,           0.0081553,           0.0014453,            0.010389,           0.0098838,           0.0098838
                   3,            0.060695,            0.017607,           0.0016357,             0.24203,             0.34733,             0.16213,            0.051256,             0.06553,           0.0080217,           0.0011249,            0.009901,            0.009901,            0.009901
                   4,            0.056159,            0.017555,           0.0012468,             0.22399,             0.48855,             0.21571,            0.082292,            0.057017,           0.0084079,           0.0010549,            0.009901,            0.009901,            0.009901
                   5,            0.054236,            0.016983,           0.0010228,             0.47739,             0.46947,             0.39641,             0.14597,            0.053358,            0.007928,          0.00082945,            0.009868,            0.009868,            0.009868
                   6,            0.050565,             0.01675,            0.000859,              0.4839,             0.49386,              0.4402,             0.19401,            0.052393,           0.0075646,          0.00070937,            0.009835,            0.009835,            0.009835
                   7,            0.050327,            0.016681,          0.00087471,             0.48361,             0.49329,             0.44251,             0.19771,            0.052519,           0.0071431,          0.00071627,            0.009802,            0.009802,            0.009802
                   8,             0.04931,            0.016604,          0.00078642,             0.46477,             0.49618,             0.43903,             0.19984,            0.049696,              0.0076,          0.00063319,            0.009769,            0.009769,            0.009769
                   9,            0.046223,            0.016515,          0.00062517,             0.53076,             0.60305,             0.50259,             0.24539,            0.047033,           0.0077461,          0.00057033,            0.009736,            0.009736,            0.009736
                  10,            0.047331,             0.01616,           0.0006498,             0.61259,              0.5458,             0.51849,             0.22496,            0.050083,           0.0069726,           0.0005946,            0.009703,            0.009703,            0.009703
                  11,            0.045482,            0.016419,          0.00061659,             0.55647,             0.61775,             0.51669,             0.24964,            0.046365,           0.0071083,           0.0005102,             0.00967,             0.00967,             0.00967
                  12,            0.045056,            0.016279,          0.00054569,             0.59468,             0.49618,             0.50397,             0.24567,            0.048169,           0.0071449,          0.00046796,            0.009637,            0.009637,            0.009637
                  13,            0.044165,            0.016091,          0.00055861,             0.59379,             0.58584,             0.59066,             0.32283,            0.047008,           0.0067144,          0.00047173,            0.009604,            0.009604,            0.009604
                  14,             0.04396,            0.015952,          0.00053976,             0.61787,              0.6145,             0.62671,             0.31427,            0.047327,           0.0066115,          0.00044884,            0.009571,            0.009571,            0.009571
                  15,            0.043282,             0.01586,          0.00047853,             0.65815,             0.60256,             0.61498,             0.32783,             0.04585,           0.0064664,          0.00042958,            0.009538,            0.009538,            0.009538
                  16,            0.042299,            0.016013,          0.00045994,             0.61105,             0.54567,             0.55485,             0.28848,            0.045771,           0.0070561,          0.00039834,            0.009505,            0.009505,            0.009505
                  17,            0.042751,            0.015684,          0.00045858,             0.56292,             0.59542,             0.57641,             0.28161,            0.045455,           0.0070517,          0.00042526,            0.009472,            0.009472,            0.009472
                  18,            0.042496,            0.015965,          0.00046174,             0.66417,             0.56489,             0.60164,             0.31127,            0.045854,           0.0067401,          0.00038938,            0.009439,            0.009439,            0.009439
                  19,            0.041266,            0.015182,          0.00043477,             0.55138,             0.48473,              0.5089,             0.26699,            0.046064,           0.0071174,          0.00034905,            0.009406,            0.009406,            0.009406
                  20,            0.041156,            0.015675,            0.000436,             0.59524,              0.6374,             0.55416,             0.26795,            0.045534,           0.0069674,          0.00036742,            0.009373,            0.009373,            0.009373
                  21,            0.041361,            0.015287,          0.00040579,             0.62322,             0.64396,              0.6198,             0.32088,            0.043713,           0.0066937,          0.00032852,             0.00934,             0.00934,             0.00934
                  22,            0.040981,            0.015364,          0.00037962,             0.70787,             0.62595,             0.66699,             0.31915,            0.043816,           0.0065562,          0.00033962,            0.009307,            0.009307,            0.009307
                  23,            0.039745,            0.015338,          0.00036788,              0.6595,             0.62977,              0.6415,             0.34564,            0.044729,           0.0066443,           0.0003452,            0.009274,            0.009274,            0.009274
                  24,            0.039546,            0.015121,          0.00040036,             0.68574,             0.59542,             0.64318,             0.33736,            0.044753,           0.0065484,          0.00030075,            0.009241,            0.009241,            0.009241
                  25,            0.039872,             0.01502,          0.00035178,             0.63108,             0.56489,             0.61515,             0.30557,            0.045586,           0.0066744,           0.0002814,            0.009208,            0.009208,            0.009208
                  26,            0.038674,            0.014606,          0.00033894,              0.7211,              0.6374,             0.64287,             0.33951,            0.043991,           0.0064366,          0.00030399,            0.009175,            0.009175,            0.009175
                  27,             0.03966,            0.015215,          0.00034386,             0.69549,             0.58015,              0.6357,             0.34323,            0.043562,           0.0066649,          0.00032165,            0.009142,            0.009142,            0.009142
